Batch Size: 64, Learning Rate: 0.0001
Accuracy: 0.9062825441360474, Precision: 0.9135748744010925, Recall: 0.8976666927337646, F1: 0.898297905921936
Balanced Accuracy: 0.8976666927337646
Matthews Correlation Coefficient (MCC): 0.9049370288848877
Cohen’s Kappa: 0.9047567248344421
Per-Class Precision, Recall, and F1 Scores:
Class 0 - Precision: 0.9838709831237793, Recall: 1.0, F1: 0.9918699264526367
Class 1 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 2 - Precision: 0.9318181872367859, Recall: 0.8913043737411499, F1: 0.9111111164093018
Class 3 - Precision: 0.8999999761581421, Recall: 0.97826087474823, F1: 0.9375
Class 4 - Precision: 0.9387755393981934, Recall: 1.0, F1: 0.9684210419654846
Class 5 - Precision: 0.8888888955116272, Recall: 0.8695651888847351, F1: 0.8791208863258362
Class 6 - Precision: 1.0, Recall: 0.8695651888847351, F1: 0.930232584476471
Class 7 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 8 - Precision: 0.957446813583374, Recall: 0.97826087474823, F1: 0.9677419066429138
Class 9 - Precision: 1.0, Recall: 0.2857142984867096, F1: 0.4444444477558136
Class 10 - Precision: 0.9555555582046509, Recall: 0.9347826242446899, F1: 0.9450549483299255
Class 11 - Precision: 1.0, Recall: 0.95652174949646, F1: 0.9777777791023254
Class 12 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 13 - Precision: 0.7878788113594055, Recall: 0.5652173757553101, F1: 0.6582278609275818
Class 14 - Precision: 0.9599999785423279, Recall: 0.52173912525177, F1: 0.6760563254356384
Class 15 - Precision: 0.8666666746139526, Recall: 0.8478260636329651, F1: 0.8571428656578064
Class 16 - Precision: 0.4583333432674408, Recall: 0.6111111044883728, F1: 0.523809552192688
Class 17 - Precision: 0.9722222089767456, Recall: 0.760869562625885, F1: 0.8536585569381714
Class 18 - Precision: 0.5116279125213623, Recall: 0.9166666865348816, F1: 0.6567164063453674
Class 19 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 20 - Precision: 0.9347826242446899, Recall: 0.9347826242446899, F1: 0.9347826242446899
Class 21 - Precision: 0.9555555582046509, Recall: 0.9347826242446899, F1: 0.9450549483299255
Class 22 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 23 - Precision: 0.8333333134651184, Recall: 0.97826087474823, F1: 0.8999999761581421
Class 24 - Precision: 1.0, Recall: 0.739130437374115, F1: 0.8500000238418579
Class 25 - Precision: 0.8799999952316284, Recall: 0.95652174949646, F1: 0.9166666865348816
Class 26 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 27 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 28 - Precision: 0.978723406791687, Recall: 1.0, F1: 0.9892473220825195
Class 29 - Precision: 0.7916666865348816, Recall: 0.8260869383811951, F1: 0.8085106611251831
Class 30 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 31 - Precision: 0.8199999928474426, Recall: 0.8913043737411499, F1: 0.8541666865348816
Class 32 - Precision: 0.9756097793579102, Recall: 0.8695651888847351, F1: 0.9195402264595032
Class 33 - Precision: 0.7068965435028076, Recall: 0.8913043737411499, F1: 0.7884615659713745
Class 34 - Precision: 0.8409090638160706, Recall: 1.0, F1: 0.9135802388191223
Class 35 - Precision: 0.8108108043670654, Recall: 0.9375, F1: 0.8695651888847351
Class 36 - Precision: 0.7916666865348816, Recall: 0.8260869383811951, F1: 0.8085106611251831
Class 37 - Precision: 0.9743589758872986, Recall: 0.8260869383811951, F1: 0.8941176533699036
Class 38 - Precision: 0.9259259104728699, Recall: 0.8196721076965332, F1: 0.8695651888847351
Class 39 - Precision: 0.9523809552192688, Recall: 0.8695651888847351, F1: 0.9090909361839294
Class 40 - Precision: 0.8723404407501221, Recall: 0.8913043737411499, F1: 0.8817204236984253
Class 41 - Precision: 0.8648648858070374, Recall: 0.695652186870575, F1: 0.7710843086242676
Class 42 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 43 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 44 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 45 - Precision: 0.7857142686843872, Recall: 0.95652174949646, F1: 0.8627451062202454
Class 46 - Precision: 0.8823529481887817, Recall: 0.97826087474823, F1: 0.9278350472450256
Class 47 - Precision: 1.0, Recall: 0.97826087474823, F1: 0.9890109896659851
Class 48 - Precision: 0.8775510191917419, Recall: 0.9347826242446899, F1: 0.9052631855010986
Class 49 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 50 - Precision: 0.9130434989929199, Recall: 0.9545454382896423, F1: 0.9333333373069763
Class 51 - Precision: 0.95652174949646, Recall: 1.0, F1: 0.9777777791023254
Class 52 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 53 - Precision: 0.9333333373069763, Recall: 0.9180327653884888, F1: 0.9256198406219482
Class 54 - Precision: 1.0, Recall: 1.0, F1: 1.0
Class 55 - Precision: 0.8409090638160706, Recall: 0.804347813129425, F1: 0.8222222328186035
Class 56 - Precision: 0.8260869383811951, Recall: 0.8260869383811951, F1: 0.8260869383811951
Class 57 - Precision: 0.95652174949646, Recall: 0.95652174949646, F1: 0.95652174949646
Class 58 - Precision: 0.8604651093482971, Recall: 0.804347813129425, F1: 0.8314606547355652
Class 59 - Precision: 1.0, Recall: 0.782608687877655, F1: 0.8780487775802612
Class 60 - Precision: 0.7872340679168701, Recall: 0.804347813129425, F1: 0.7956989407539368
Class 61 - Precision: 0.949999988079071, Recall: 0.9268292784690857, F1: 0.9382715821266174
Class 62 - Precision: 0.9166666865348816, Recall: 0.95652174949646, F1: 0.936170220375061
Class 63 - Precision: 0.9555555582046509, Recall: 0.9347826242446899, F1: 0.9450549483299255
Class 64 - Precision: 0.9387755393981934, Recall: 1.0, F1: 0.9684210419654846

--------------------------------------------------
